活动规则|Promotion Rules
配置注入|Configuration injection
事件注入|Event injection
分享内容|Share content
用户确认分享后执行的回调函数|Execute callback function after user confirmed sharing
分享统计|Share Statistics
配置注入|Configuration injection
事件注入|Event injection
点击美洽|Click MeiQia
打开会话|Open Session
检查登录状态|Check login status
这是美洽的嵌入代码|This is MeiQia embedded code
设置|Set up
会员|member
传递顾客信息|Transfer customer information
姓名|Full name
性别|gender
电话|phone
邮箱|email
网站名称|Site Name
自定义字段|Custom Fields
来源网站名称|Source Site Name
在这里开启无按钮模式|No button mode starts here
常规情况下|Under normal circumstances
需要紧跟在美洽嵌入代码之后|Need to append after MeiQia embed code
毫秒|millisecond
秒后执行|seconds then execute
方法|method
获取节点|Gets node
绑定|Binding
事件|event
阻止页面的滑动默认事件|Prevent default page scrolling event
快速导航|Quick navigation
顶部|Top
首页|Home
分类|Category
购物车|shopping cart
个人中心|Profile
批发首页|Wholesale Home
批发列表|Wholesale list
进货单|Purchased list
求购信息|Procurement info
获取节点|Gets node
绑定|Binding
事件|event
阻止页面的滑动默认事件|Prevent default page scrolling event
快捷导航|Quick Navigation
快速导航|Quick navigation
顶部|Top
首页|Home
分类|classification
拼团频道|Group Buy Channel
排行|ranking
个人中心|Profile
元可用|Dollars available
去使用|Use Now
已领完|Already claimed
领取|Received
使用期限|Period of use
还没有红包哦|No red envelopes yet
快捷导航|Quick Navigation
切换|Switch
列表|List
领取|received
还未登录|Not logged in
请登录之后领取|Please claim after login
确定|confirm
取消|Cancel
去使用|Use now
品牌商品搜索|Brand Search
搜索|search
共有|Total
件商品|Items
进入专区|Enter
品牌关联分类|Brand association classification
全部商品|all products
新品|New
热销|Best Selling
热门产品|Hot Products
库存|in stock
销量|Sold
此处没有内容|There is no content here
查看更多|see more
商品搜索|product search
搜索|search
最近搜索|Recent Searches
点击关闭|Click to close
快捷导航|Quick Navigation
品牌街|Brand Street
全部品牌|All Brands
品牌列表|Brand list
切换到第一个|Switch to the first
速度为|Speed ​​of
今日最大牌|Today, the biggest brand
每日精选|Daily Picks
品牌大促|Brand big promotion
日期|date
品牌|Brands
导航按钮|Navigation buttons
热门大牌|Hot brand
轮播图|Carousel Image
共有|A total of
件商品|Items
进入专区|Enter
推荐大牌|Recommended brand
查看更多|see more
快捷导航|Quick Navigation
品牌街|Brand Street
品牌搜索|Brand Search
搜索|search
筛选|filter
内容|content
此处没有内容|There is no content here
筛选|filter
关闭|close
分类|classification
全部|all
全部|all
清空选项|Clear Options
确定|confirm
快捷导航|Quick Navigation
正在加载|loading
异步数据|Asynchronous data
请求|request
商品列表|Product List
加载更多|load more
正在加载|loading
没有更多了|No more
固定图片所在|Fixed picture is located
大小|size
防止列表错位|Prevent list dislocation 
筛选品牌分类|Filter Brand
获取需要改变值的|retrieve value to be changed
标签|label
当点击非|When clicked is not
的时候删除其选中状态|then delete selected
获取当前选中|Gets the currently selected
的文本值|Text value
品牌分类|Brand category
收缩|shrink
分类列表|Category List
筛选品牌分类|Filter Brand
点击全部|Click All
获取值为|Gets value
全部|All
获取需要改变值的|retrieve value to be changed
标签|label
的值赋值给需要改变的|assign value to the values to be changed
标签|label
收缩|shrink
分类列表|Category List
筛选按钮中清空选项|Filter button clear the Options
全部|All
综合|All
综合|All
综合|All
价格|price
价格|price
价格|price
销量|Sold
销量|Sold
销量|Sold
此处没有内容|There is no content here
悬浮|float
已加入购物车的活动商品|Products in cart
总价|Total price
悬浮|float
正在加载|loading
引用|Quote
凑单|add-on item
活动商品列表|Activities Product List
凑单|add-on item
加入购物车|add to Shopping Cart
凑单|add-on item
添加活动商品到购物车|adding promotional products to Shopping Cart
检查是否有商品规格|Check for product specifications
模板堂|Template center
仓库|warehouse
地区|area
模板堂|Template center
仓库|warehouse
凑单|add-on item
处理添加活动商品到购物车的反馈信息|Adding products to cart feedback
如果需要缺货登记|If you need to record out of stock
跳转|redirect
确定|confirm
取消|cancel
没选规格|Did not choose Specifications
弹出属性选择框|Select Properties pop-up box
更新购物车数量|Update cart quantity 
商品已加入购物车|Product Added to Cart
立即去购物车查看|View shopping cart
确定|confirm
取消|cancel
加载更多|load more
正在加载|loading
没有更多了|No more
库存|in stock
库存|in stock
商品属性弹出层|product attribute pop-up layer
库存|in stock
颜色|colour
尺寸|size
数量|quantity 
加入购物车|add to Shopping Cart
商品属性弹出层|product attribute pop-up layer
引用|Quote
库存|in stock
店铺信息商品滚动|store info product ticker
领取优惠券|claim coupons
元可用|Dollars available
已领取|already claimed
已抢完|already sold out
立即|immediately
领取|receive
全部优惠券|All Coupons
可选促销|Available promotions
切换促销|Switching promotion type
勾选效果|Check the effect
请求|request
按店铺显示商品|sort by store
领取优惠券|claim coupons
满赠|Buy more get free
满足最低消费|Meet the minimum spending
领取赠品|Receiving gifts
查看赠品|View gifts
去凑单|go to add-on
再逛逛|Shop around
满足最低消费|Meet the minimum spending
领取赠品|Receiving gifts
查看赠品|View gifts
去凑单|go to add-on
再逛逛|Shop around
满减|Spend over get discount
满足最低消费|Meet the minimum spending
去凑单|go to add-on
再逛逛|Shop around
折扣|discount
满足最低消费|Meet the minimum spending
去凑单|go to add-on
再逛逛|Shop around
优惠活动商品|products on special
门店名称|Store name
配件|Accessories
已失效|expired
收藏|Collect
删除|delete
可选促销|Available promotions
每个优惠活动只有大于一个商品|Every promotion requires at least one product
赠品开始|Gifts start
已失效|expired
普通商品可修改数量|You can modify the number of general products
收藏|Collect
删除|delete
赠品结束|gift offer ended
如果活动存在赠品|If there is free gift in a promotion
显示赠品列表|Display gift list
取消|cancel
确定|confirm
普通商品开始|General merchandise start
门店名称|Store name
配件|Accessories
已失效|expired
收藏|Collect
删除|delete
普通商品结束|End general merchandise
按店铺显示商品|sort by store
购物车什么也没有|Nothing in cart
去逛逛|Go shopping
登录|log in
推荐商品|Featured Products
编辑|edit
按店铺显示商品|sort by store
领取优惠券|claim coupons
满赠|Buy more get free
满足最低消费|Meet the minimum spending
领取赠品|Receiving gifts
查看赠品|View gifts
去凑单|go to add-on
再逛逛|Shop around
满足最低消费|Meet the minimum spending
领取赠品|Receiving gifts
查看赠品|View gifts
去凑单|go to add-on
再逛逛|Shop around
满减|Spend over get discount
满足最低消费|Meet the minimum spending
去凑单|go to add-on
再逛逛|Shop around
折扣|discount
满足最低消费|Meet the minimum spending
去凑单|go to add-on
Shop around|Shop around
优惠活动商品|products on special
门店名称|Store name
配件|Accessories
已失效|expired
收藏|Collect
删除|delete
可选促销|Available promotions
每个优惠活动只有大于一个商品|Every promotion requires at least one product
赠品开始|gifts start
已失效|expired
普通商品可修改数量|You can modify the number of general product
收藏|Collect
删除|delete
赠品结束|gift offer ended
如果活动存在赠品|If there is free gift in a promotion
显示赠品列表|Display gift list
取消|cancel
确定|confirm
普通商品开始|General merchandise start
门店名称|Store name
配件|Accessories
已失效|expired
收藏|Collect
删除|delete
普通商品结束|End general merchandise
按店铺显示商品|sort by store
猜你喜欢|you may also like
猜你喜欢|you may also like
库存|in stock
销量|Sold
可选促销|Available promotions
没写样式|empty style
暂时用属性的代替|Temporary replacement properties with
可选促销|Available promotions
领取优惠券|claim coupons
异步加载|Asynchronous loading
领取优惠券|claim coupons
悬浮|float
全选|select all
合计|total
不含运费|Free shipping
已节省|Have saved
收藏|Collect
移至收藏|Move to Collection
删除|delete
首页|Home
分类|classification
搜索|search
购物车|shopping cart
中心|center
社区|community
悬浮|float
地区选择|Select area
地区选择|Select area
首次加载|First load
购物车返回|back to shopping cart
根据|according to
选中相对应的商品|Select the corresponding products
获取购物车已选|Get selected products from cart
获取购物车已选商品活动|Get selected promo products from cart
优惠活动|Promotions
点击结算|Check out
门店|Stores
至少选中一个商品|Select at least one product
门店|Stores
门店|Stores
收藏购物车商品|Save products in cart to collection
批量|batch
登录|log in
取消|cancel
单个商品移入收藏|move single product into Collection
用于异步返回|Asynchronous return
不能使用|cannot use
的问题|issue
确定|confirm
取消|cancel
登录|log in
取消|cancel
单个删除购物车商品|To delete a single product
商品|products
店铺|Store
相同店铺下商品件数|Number of products in a store
活动|Promotion
用于异步返回|Asynchronous return
不能使用|cannot use
的问题|issue
移除优惠活动标题|Remove promotion title
Delete store name e.g.|Delete the first product link
店铺下仅一件商品|Only one item at the store
删除店铺名称等|Delete store name
店铺下多件商品|multiple items under one store
仅删除一件商品|Delete single product
只去除一件商品的|Removing single product
删除商品的|Deleted items
商品存在配件|product accessories
移除配件|remove accessories
清空购物车|Empty Shopping Cart
批量删除|batch deletion
至少选中一个商品|Select at least one product
购物车商品数量加减|product qty add/substract in a cart
店铺|Store
自营为|Self operated
当前优惠活动|Current promotions
减少|decrease
已选的优惠活动|Selected promotions
单价|unit price
更新优惠活动信息|update offer information
不能小于最小数量|Not less than the minimum number of
增加|increase
不能超过限购数量|Not exceed the limit
限购|Purchase Limit
已选的优惠活动|Selected promotions
单价|unit price
更新优惠活动信息|update offer information
不能超过最大数量|Not exceed the maximum number of
该商品未勾选不能增减|This product was not checked can not increase or decrease
直接修改购物车数量|Directly modify the number of shopping cart
店铺|Store
自营为|Self-operated
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
不能超过限购数量|Not exceed the limit
已选的优惠活动|Selected promotions
单价|unit price
更新优惠活动信息|update offer information
该商品未勾选不能增减|This product was not checked can not increase or decrease
多选|Multiple choice
全选|select all
全不选|unselect all
全选|select all
多选|Multiple choice
只点击单选按钮|Just click the Single choice button
部分多选|Part multiple choice
同商家只能选择一个|can only select one from the same company 
优惠活动|Promotions
多选|Multiple choice
单选|Single choice
套餐|Package
主商品与配件|Main Product and Accessories
同步勾选与取消|Check synchronization and canceled
且更新购物车|And update cart
配件主商品|main product accessories
有配件|Has accessories
多选|Multiple choice
勾选与取消|Check and Cancel
套餐|Package
主商品与配件|Main Product and Accessories
同步勾选与取消|Check synchronization and canceled
且更新购物车|And update cart
店铺信息商品滚动|store info product ticker
推荐商品|Featured Products
图片不是|Pictures are not
时对图片限制|put restrictions on the picture
判断选中状态|determine selected status
点击领取赠品|Click Receiving gifts
关闭|close
取消|cancel
同位置确定按钮下的活动|At the same location to determine the activity of a button
勾选赠品|Check gifts
最多可领取赠品数量|maximum number of gifts
您当前最多可领取赠品|the maximum number of gifts you can have
已领取多少件|number of gifts claimed
确定|confirm
提交选中赠品|Submit selected gifts
最多可领取赠品数量|maximum number of gifts
您当前最多可领取赠品|the maximum number of gifts you can have
商品|products
赠品|Gifts
当前赠品主商品购物车记录|Gift & Product History
编辑购物车|Edit cart
批量选择|Batch Selection
编辑|edit
完成|completed
编辑|edit
优惠券|coupon
展开弹窗|Expand popupup
促销|Promotions
展开弹窗|Expand popup
添加活动商品|add promotional products
赠品|Gifts
到购物车|Go to cart
处理添加活动商品|Add event handling merchandise
赠品|Gifts
到购物车的反馈信息|Feedback to the shopping cart
如果需要缺货登记|If you need to record out of stock
跳转|redirect
确定|confirm
取消|cancel
更新优惠活动信息|update offer information
优惠活动|Promotions
显示再逛逛|Display Shop around
显示去凑单|go to add-on display
满赠|Buy more get free
再逛逛|Shop around
遍历|Traversal
赠品列表|Gifts list
去凑单|go to add-on
隐藏选中按钮|Hide Select button
满减|Spend over get discount
折扣|discount
遍历|Traversal
删除赠品|Delete gifts
推荐套餐|Recommended Package
修改主件商品同步更新配件商品数量|change main product synchronized update new accessory quantity
商品|products
店铺搜索|Store Search
筛选|filter
首页|Home
分类|classification
分期购|Installment purchase
购物车|shopping cart
中心|center
社区|community
悬浮菜单|Floating menu
取出上次位置的值并保存|get last position value and save
返回之前页面的操作位置|return to previous page
存储到|Save to
字段|Field
保存滚动位置|Save scroll position
取出并滚动到上次保存位置|go to last saved position
存储到|Save to
字段|Field
保存|save
商品|products
店铺搜索|Store Search
筛选|filter
综合|All
综合|All
综合|All
新品|New
销量|Sold
价格|price
价格|price
价格|price
内容|content
库存|in stock
销量|Sold
此处没有内容|There is no content here
筛选|filter
关闭|close
自营产品|Sole trader products
配送至|deliver to
货到付款|Cash on delivery
仅看有货|show only available stock
促销|Promotions
价格区间|The price range
品牌|Brands
清空选项|Clear Options
确定|confirm
快捷导航|Quick Navigation
正在加载|loading
筛选价格区间|Filter by price range
异步数据|Asynchronous data
通过埋点判断是否使用缓存|Determine cache execution base on event tracking
缓存|Cache
请求|request
商品列表|Product List
加载更多|load more
正在加载|loading
没有更多了|No more
点击保存模式切换|click Save Mode switching
存入|Deposit
替换|replace
参数值|Parameter Value
聊天列表|Chat list
返回|return
消息列表|Message List
在线客服|online agent
及以下支持|And the following support
自动适配移动端与|Automatic adaptation of the mobile terminal
需要登录的用户|Users need to log in
申请的|apply
需要登录的用户的密码|need logged in user password
客服|Customer Service
展示效果配置项|Showing the effect settings
默认显示小图|display thumbnail as default
点击放大图片|Click image to enlarge
登录用户的头像|Login User avatar
移动端推荐|Recommended mobile app
屏幕宽度|Screen width
聊天对象的头像|Chatting avatar
在移动端推荐|Recommend mobile app
是否显示顶部|Whether to show the top
自定义区域|Custom area
输入框默认文案|Enter the default script
显示在对方消息位置的默认欢迎文案|show default welcome script
隐藏登录成功时的提示文案|Hide login success message
消息相关配置项|Message related settings
的消息类型|The message type
默认|default
使用客服模式即给淘宝|use customer Customer Service Mode is Taobao
千牛客服发送消息|QianNiu Customer Service send message
默认|default
如果是|if
千牛那边收不到客户发送的信息|QianNiu could not receive message
客服模式|Customer Service Mode
可以传入分组|You can pass the packet
上传自定义数据|Upload custom data
在千牛插件中显示|display in QianNiu plug-in
在线客服|online agent
来自|Come from
链接|link
默认|default
如果是|if
千牛那边收不到客户发送的信息|QianNiu could not receive message
及以下支持|And the following support
自动适配移动端与|Automatic adaptation of the mobile terminal
需要登录的用户|Users need to log in
申请的|apply
需要登录的用户的密码|need logged in user password
客服|Customer Service
展示效果配置项|Showing the effect settings
默认显示小图|display thumbnail as default
点击放大图片|Click image to enlarge
登录用户的头像|Login User avatar
移动端推荐|Recommended mobile terminal
屏幕宽度|Screen width
聊天对象的头像|Chatting avatar
在移动端推荐|Recommend mobile terminal
是否显示顶部|Whether to show the top
自定义区域|Custom area
输入框默认文案|Enter the default script
显示在对方消息位置的默认欢迎文案|show default welcome script
隐藏登录成功时的提示文案|Hide login success message
消息相关配置项|Message related settings
来自|Come from
链接|link
的消息类型|The message type
默认|default
使用客服模式即给淘宝|use customer Customer Service Mode is Taobao
千牛客服发送消息|QianNiu Customer Service send message
默认|default
如果是|if
千牛那边收不到客户发送的信息|QianNiu could not receive message
客服模式|Customer Service Mode
可以传入分组|You can pass the packet
上传自定义数据|Upload custom data
在千牛插件中显示|display in QianNiu plug-in
关联商品|Related Products
帖子详情|Post details
分享|share
分享方式弹出层|Share mode pop-up layer
分享到|share to
评论列表|comment list
此处没有内容|There is no content here
回复帖子|Reply to posts
发送|send
快捷导航|Quick Navigation
社区首页|Community Home
引用|Quote
回复帖子|Reply to posts
提交|submit
请填写回复内容|Please fill out the reply
店铺信息商品滚动|store info product ticker
输入框遮挡问题|Input box masking issue
消息框获取焦点|The message box gets focus
消息框失去焦点|The message box loses focus
回复|Reply
回复|Reply
社区首页|Community Home
我的帖子|My posts
头部导航|Head navigation
讨论贴|Discussion threads
问答贴|Q & A posted
圈子贴|Group posts
晒单贴|Testimonial posts
店铺信息商品滚动|store info product ticker
店铺信息商品滚动|store info product ticker
讨论贴|Discussion threads
问答贴|Q & A posted
圈子贴|Group posts
晒单贴|Testimonial posts
店铺信息商品滚动|store info product ticker
异步数据|Asynchronous data
回复列表|Reply List
此处没有内容|There is no content here
快捷导航|Quick Navigation
社区首页|Community Home
引用|Quote
晒单列表|Testimonial list
此处没有内容|There is no content here
尾部浮动导航|Tail floating navigation
快捷导航|Quick Navigation
社区首页|Community Home
引用|Quote
确实要删除该帖吗|Are you sure you want to delete the post
确定|confirm
取消|cancel
删除成功|successfully deleted
头部导航|Head navigation
已购买|bought
购物车|shopping cart
已收藏|collected
已浏览|Viewed
悬浮|float
确定|confirm
悬浮|float
快捷导航|Quick Navigation
社区首页|Community Home
去发帖|Go post
引用|Quote
店铺信息商品滚动|store info product ticker
首次加载|First loads
请选着一件商品|Please select a product
异步调用相关类型帖子|Asynchronous call the relevant type of posts
此处没有发帖内容|There is no post content here
讨论帖|Discussion thread
问答贴|Q & A posted
圈子贴|Group posts
晒单贴|Testimonial posts
标题|title
留下点文字吧|say something
取消|cancel
确定|confirm
悬浮|float
社区首页|Community Home
我的帖子|My posts
悬浮|float
快捷导航|Quick Navigation
异步请求|Asynchronous request
请选择帖子主题|Please select post topic
请填写标题|Please fill in title
请填写帖子内容|Please fill in the post content
请选择关联商品|Please select Related Products
在线可视化装修|Online visualization
自营的首页|Self-employed home
商家的店铺页|Merchant store page
平台的专题页|Platform Featured Pages
去除火狐默认事件|Firefox remove the default event
好券集市|Coupon market
任务集市|Freelance
购物满|Spent 
元即送|dollars get
元优惠券|dollars coupons
去购物|go shopping
还没有优惠券哦|Oh no coupons
快捷导航|Quick Navigation
好券集市|coupon market
切换|Switch
加载列表|Load List
去使用|To use
购物|shopping
好券集市|coupon market
任务集市|Freelance
全场券|general coupon
会员券|member coupons
免邮券|Free postage coupons
免邮|Free postage
元可用|Dollars available
已领取|already claimed
图片标示|picture sign
立即|immediately
使用|use
已抢完|already sold out
立即|immediately
领取|receive
还没有优惠券哦|Oh no coupons
快捷导航|Quick Navigation
调整子菜单样式|Adjustment sub menu style
切换|Switch
加载列表|Load List
切换主菜单|Switch the main menu
切换子菜单|Switching submenu
领取|receive
还未登录|Not logged in
请登录之后领取|Please log in after receiving
确定|confirm
取消|cancel
去使用|To use
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
所在地区|Region
详细信息|details
详细地址|Address
保存|save
地区选择|Select area
地区选择|Select area
收货人姓名不能为空|Consignee name can not be empty
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
详细地址不能为空|Address can not be empty
默认地址|default address
编辑|edit
删除|delete
新增收货人信息|Add consignee information
还没有收货地址哦|Oh no shipping address
点击添加一个收货地址|Click Add a shipping address
引用|Quote
点击设置地址|Click Address Settings 
您确定要删除收货地址吗|Are you sure you want to delete the delivery address?
是否删除|delete or not
请选择配送地址|Select shipping address
岁月无声|Sui Yue Wu Sheng
已筹资金|money raised
支持人|supporter
支持|support
配送方式|Delivery Method
请选择|please choose
配送方式|Delivery Method
免运费|free shipping
配送费用|Shipping fees
免运费|free shipping
支付方式|payment method
手续费|Fees
请选择|please choose
支付方式|payment method
支付方式|payment method
手续费|Fees
支付方式|payment method
买家留言|Buyers message
选填|Optional
件商品|Items
合计|total
悬浮|float
实付款|real payment
提交订单|Submit Order
悬浮|float
商品属性弹出层|product attribute pop-up layer
快捷导航|Quick Navigation
微筹广场|WeiChou Plaza
微筹中心|WeiChou center
悬浮菜单|Float Menu
引用|Quote
配送方式切换|change delivery
请先择配送方式|Please select Delivery
请先择支付方式|Please select payment method
商品|products
详情|Detail
话题|topic
评论|comment
评论回复|Reply to comment
此处没有内容|There is no content here
异步数据|Asynchronous data
付款金额|Payment amount
订单号|order number
配送方式|Delivery Method
余额支付已完成|The balance of payments has been completed
其他方式|other methods
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
所在地区|Region
详细信息|details
详细地址|Address
保存|save
地区选择|Select area
地区选择|Select area
引用|Quote
项目搜索|Project Search
搜索|search
最近搜索|Recent Searches
点击关闭搜索|Close search
搜索验证|Search verification
请输入搜索内容|Enter search content
清空搜索记录|Clear search history
删除失败|failed to delete
商品|products
店铺搜索|Store Search
综合排序|Comprehensive sorting
全部商品|all products
综合排序|Comprehensive sorting
最新上线|Latest
金额最多|The largest amount
支持最多|Most support
全部商品|all products
支持人数|number of supporters
剩余时间|Time left
已筹|raised
目标|target
此处没有内容|There is no content here
商品属性弹出层|product attribute pop-up layer
悬浮菜单|Float Menu
首页|Home
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
悬浮菜单|Float Menu
异步数据|Asynchronous data
商品|products
详情|Detail
话题|topic
咨询|advisory
项目状态|project status
还剩|Left
目标资金|Target funds
已筹资金|money raised
支持人数|number of supporters
查看项目详情|View Project Details
发货时间|Delivery time
运费|Freight
顺丰包邮|ShunFeng Post
发货时间|Delivery time
方案回报|Return program
支持|support
剩余|remain
回报时间|Payback time
项目成功|Project Success
天内|Days
配送费用|Shipping fees
免运费|free shipping
实时话题|Real-time topic
的支持者|Supporters
项目动态|Project News
话题列表|Topics List
更多|More
评论|comment
回复内容|Reply
此处没有内容|There is no content here
支持|support
此处没有内容|There is no content here
此处没有内容|There is no content here
悬浮|float
关注|subscribe
分享|share it
话题|topic
项目状态|project status
支持|support
商品属性弹出层|product attribute pop-up layer
方案回报|Return program
支持|support
剩余|remain
回报时间|Payback time
项目成功|Project Success
天内|Days
配送费用|Shipping fees
免运费|free shipping
数量|quantity 
合计|total
请选择|please choose
确定|confirm
快捷导航|Quick Navigation
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
悬浮菜单|Float Menu
相册|Gallery
商品详情相册切换|change Product Details album
店铺信息商品滚动|store info product ticker
商品详情切换|Product Details switching
请先择回报方案|Please select return option
该方案已售罄|The option has been sold
请选择其他方案|Please select other options
点选可选属性或改变数量时修改商品价格的函数|when click optional attribute or change quantity changes price function
接收返回的信息|Receiving the returned information
添加商品到关注|Add items to Watch
处理收藏商品的反馈信息|process favourited products feedback
未登录不能使用收藏功能|Not Logged collection function can not be used
是否登录|Whether Login
折扣|discount
配送费用|Shipping fees
保价费用|Insurance fee
支付费用|Pay
包装费用|Packaging costs
贺卡费用|Greeting card fee
余额|Balance
积分|points
红包|Red envelope
优惠券|coupon
